chapter,sense,lemma,sentence,sentence_start_char,sentence_end_char
2,SMELL,breathe,"Mr. Reed had been dead nine years: it was in this chamber he breathed his last; here he lay in state; hence his coffin was borne by the undertaker’s men; and, since that day, a sense of dreary consecration had guarded it from frequent intrusion.",5123,5370
4,SMELL,breath,"“What?” said Mrs. Reed under her breath: her usually cold composed grey eye became troubled with a look like fear; she took her hand from my arm, and gazed at me as if she really did not know whether I were child or fiend.",2738,2960
4,SMELL,breathe,"Having spread the quilt and folded my night-dress, I went to the window-seat to put in order some picture-books and doll’s house furniture scattered there; an abrupt command from Georgiana to let her playthings alone (for the tiny chairs and mirrors, the fairy plates and cups, were her property) stopped my proceedings; and then, for lack of other occupation, I fell to breathing on the frost-flowers with which the window was fretted, and thus clearing a space in the glass through which I might look out on the grounds, where all was still and petrified under the influence of a hard frost.",8695,9290
5,SMELL,fume,"I saw a universal manifestation of discontent when the fumes of the repast met the nostrils of those destined to swallow it; from the van of the procession, the tall girls of the first class, rose the whispered words— “Disgusting!",11882,12113
7,SMELL,breath,"And before I could draw breath, “I must not forget I have a word to say respecting her.”",14447,14535
7,SMELL,breath,"What my sensations were, no language can describe; but just as they all rose, stifling my breath and constricting my throat, a girl came up and passed me: in passing, she lifted her eyes.",18775,18962
8,SMELL,breathe,"I felt the impression of woe as she spoke, but I could not tell whence it came; and when, having done speaking, she breathed a little fast and coughed a short cough, I momentarily forgot my own sorrows to yield to a vague concern for her.",4763,5003
8,SMELL,scent,"How fragrant was the steam of the beverage, and the scent of the toast! of which, however, I, to my dismay (for I was beginning to be hungry) discerned only a very small portion: Miss Temple discerned it too.",9305,9515
8,SMELL,breathe,Helen she held a little longer than me: she let her go more reluctantly; it was Helen her eye followed to the door; it was for her she a second time breathed a sad sigh; for her she wiped a tear from her cheek.,13123,13335
9,SMELL,breathe,"That forest-dell, where Lowood lay, was the cradle of fog and fog-bred pestilence; which, quickening with the quickening spring, crept into the Orphan Asylum, breathed typhus through its crowded schoolroom and dormitory, and, ere May arrived, transformed the seminary into an hospital.",2850,3137
9,SMELL,smell,"While disease had thus become an inhabitant of Lowood, and death its frequent visitor; while there was gloom and fear within its walls; while its rooms and passages steamed with hospital smells, the drug and the pastille striving vainly to overcome the effluvia of mortality, that bright May shone unclouded over the bold hills and beautiful woodland out of doors.",4106,4470
9,SMELL,scent,"Its garden, too, glowed with flowers: hollyhocks had sprung up tall as trees, lilies had opened, tulips and roses were in bloom; the borders of the little beds were gay with pink thrift and crimson double daisies; the sweetbriars gave out, morning and evening, their scent of spice and apples; and these fragrant treasures were all useless for most of the inmates of Lowood, except to furnish now and then a handful of herbs and blossoms to put in a coffin.",4471,4930
9,SMELL,linger,"This done, I lingered yet a little longer: the flowers smelt so sweet as the dew fell; it was such a pleasant evening, so serene, so warm; the still glowing west promised so fairly another fine day on the morrow; the moon rose with such majesty in the grave east.",9262,9525
9,SMELL,smell,"This done, I lingered yet a little longer: the flowers smelt so sweet as the dew fell; it was such a pleasant evening, so serene, so warm; the still glowing west promised so fairly another fine day on the morrow; the moon rose with such majesty in the grave east.",9262,9525
10,SMELL,breathe,"I imagined myself only to be regretting my loss, and thinking how to repair it; but when my reflections were concluded, and I looked up and found that the afternoon was gone, and evening far advanced, another discovery dawned on me, namely, that in the interval I had undergone a transforming process; that my mind had put off all it had borrowed of Miss Temple—or rather that she had taken with her the serene atmosphere I had been breathing in her vicinity—and that now I was left in my natural element, and beginning to feel the stirring of old emotions.",3982,4539
11,SMELL,linger,"I lingered in the long passage to which this led, separating the front and back rooms of the third storey: narrow, low, and dim, with only one little window at the far end, and looking, with its two rows of small black doors all shut, like a corridor in some Bluebeard’s castle.",32844,33124
12,SMELL,breath,"If a breath of air stirred, it made no sound here; for there was not a holly, not an evergreen to rustle, and the stripped hawthorn and hazel bushes were as still as the white, worn stones which causewayed the middle of the path.",7467,7696
