chapter,sense,lemma,sentence,sentence_start_char,sentence_end_char
1,SOUND,hear,"Me, she had dispensed from joining the group; saying, “She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.”",906,1395
1,SIGHT,observation,"Me, she had dispensed from joining the group; saying, “She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.”",906,1395
1,SIGHT,light,"Me, she had dispensed from joining the group; saying, “She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.”",906,1395
1,SIGHT,scene,"Afar, it offered a pale blank of mist and cloud; near a scene of wet lawn and storm-beat shrub, with ceaseless rain sweeping away wildly before a long and lamentable blast.",2284,2458
1,SOUND,blast,"Afar, it offered a pale blank of mist and cloud; near a scene of wet lawn and storm-beat shrub, with ceaseless rain sweeping away wildly before a long and lamentable blast.",2284,2458
1,SIGHT,glance,"The words in these introductory pages connected themselves with the succeeding vignettes, and gave significance to the rock standing up alone in a sea of billow and spray; to the broken boat stranded on a desolate coast; to the cold and ghastly moon glancing through bars of cloud at a wreck just sinking.",3683,3990
1,TOUCH,cold,"The words in these introductory pages connected themselves with the succeeding vignettes, and gave significance to the rock standing up alone in a sea of billow and spray; to the broken boat stranded on a desolate coast; to the cold and ghastly moon glancing through bars of cloud at a wreck just sinking.",3683,3990
1,SIGHT,eye,"He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks.",6431,6548
1,TASTE,gorge,"He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks.",6431,6548
1,SIGHT,see,"There were moments when I was bewildered by the terror he inspired, because I had no appeal whatever against either his menaces or his inflictions; the servants did not like to offend their young master by taking my part against him, and Mrs. Reed was blind and deaf on the subject: she never saw him strike or heard him abuse me, though he did both now and then in her very presence, more frequently, however, behind her back.",7266,7695
1,SOUND,hear,"There were moments when I was bewildered by the terror he inspired, because I had no appeal whatever against either his menaces or his inflictions; the servants did not like to offend their young master by taking my part against him, and Mrs. Reed was blind and deaf on the subject: she never saw him strike or heard him abuse me, though he did both now and then in her very presence, more frequently, however, behind her back.",7266,7695
2,SIGHT,look,"“Mind you don’t,” said Bessie; and when she had ascertained that I was really subsiding, she loosened her hold of me; then she and Miss Abbot stood with folded arms, looking darkly and doubtfully on my face, as incredulous of my sanity.",1439,1677
2,TOUCH,hold,"“Mind you don’t,” said Bessie; and when she had ascertained that I was really subsiding, she loosened her hold of me; then she and Miss Abbot stood with folded arms, looking darkly and doubtfully on my face, as incredulous of my sanity.",1439,1677
2,SIGHT,look,"All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie’s evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travellers.",6018,6480
2,SIGHT,figure,"All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie’s evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travellers.",6018,6480
2,SIGHT,gaze,"All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie’s evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travellers.",6018,6480
2,SIGHT,eye,"All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie’s evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travellers.",6018,6480
2,SIGHT,eye,"All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie’s evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travellers.",6018,6480
2,TOUCH,cold,"All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie’s evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travellers.",6018,6480
2,SOUND,hear,"I heard the rain still beating continuously on the staircase window, and the wind howling in the grove behind the hall; I grew by degrees cold as a stone, and then my courage sank.",10060,10240
2,SOUND,howl,"I heard the rain still beating continuously on the staircase window, and the wind howling in the grove behind the hall; I grew by degrees cold as a stone, and then my courage sank.",10060,10240
2,TOUCH,cold,"I heard the rain still beating continuously on the staircase window, and the wind howling in the grove behind the hall; I grew by degrees cold as a stone, and then my courage sank.",10060,10240
2,SIGHT,look,"I doubted not—never doubted—that if Mr. Reed had been alive he would have treated me kindly; and now, as I sat looking at the white bed and overshadowed walls—occasionally also turning a fascinated eye towards the dimly gleaming mirror—I began to recall what I had heard of dead men, troubled in their graves by the violation of their last wishes, revisiting the earth to punish the perjured and avenge the oppressed; and I thought Mr. Reed’s spirit, harassed by the wrongs of his sister’s child, might quit its abode—whether in the church vault or in the unknown world of the departed—and rise before me in this chamber.",11520,12141
2,SIGHT,eye,"I doubted not—never doubted—that if Mr. Reed had been alive he would have treated me kindly; and now, as I sat looking at the white bed and overshadowed walls—occasionally also turning a fascinated eye towards the dimly gleaming mirror—I began to recall what I had heard of dead men, troubled in their graves by the violation of their last wishes, revisiting the earth to punish the perjured and avenge the oppressed; and I thought Mr. Reed’s spirit, harassed by the wrongs of his sister’s child, might quit its abode—whether in the church vault or in the unknown world of the departed—and rise before me in this chamber.",11520,12141
2,SOUND,hear,"I doubted not—never doubted—that if Mr. Reed had been alive he would have treated me kindly; and now, as I sat looking at the white bed and overshadowed walls—occasionally also turning a fascinated eye towards the dimly gleaming mirror—I began to recall what I had heard of dead men, troubled in their graves by the violation of their last wishes, revisiting the earth to punish the perjured and avenge the oppressed; and I thought Mr. Reed’s spirit, harassed by the wrongs of his sister’s child, might quit its abode—whether in the church vault or in the unknown world of the departed—and rise before me in this chamber.",11520,12141
2,SOUND,hear,"I heard her sweeping away; and soon after she was gone, I suppose I had a species of fit: unconsciousness closed the scene.",15216,15339
2,SIGHT,scene,"I heard her sweeping away; and soon after she was gone, I suppose I had a species of fit: unconsciousness closed the scene.",15216,15339
3,SOUND,hear,"I heard her say— “Sarah, come and sleep with me in the nursery; I daren’t for my life be alone with that poor child to-night: she might die; it’s such a strange thing she should have that fit: I wonder if she saw anything.",2661,2884
3,SIGHT,see,"I heard her say— “Sarah, come and sleep with me in the nursery; I daren’t for my life be alone with that poor child to-night: she might die; it’s such a strange thing she should have that fit: I wonder if she saw anything.",2661,2884
3,SIGHT,watch,"For me, the watches of that long night passed in ghastly wakefulness; ear, eye, and mind were alike strained by dread: such dread as children only can feel.",3396,3554
3,SIGHT,eye,"For me, the watches of that long night passed in ghastly wakefulness; ear, eye, and mind were alike strained by dread: such dread as children only can feel.",3396,3554
3,SOUND,strain,"For me, the watches of that long night passed in ghastly wakefulness; ear, eye, and mind were alike strained by dread: such dread as children only can feel.",3396,3554
3,TOUCH,feel,"For me, the watches of that long night passed in ghastly wakefulness; ear, eye, and mind were alike strained by dread: such dread as children only can feel.",3396,3554
3,SIGHT,look,"Poverty looks grim to grown people; still more so to children: they have not much idea of industrious, working, respectable poverty; they think of the word only as connected with ragged clothes, scanty food, fireless grates, rude manners, and debasing vices: poverty for me was synonymous with degradation.",13158,13466
3,TOUCH,grate,"Poverty looks grim to grown people; still more so to children: they have not much idea of industrious, working, respectable poverty; they think of the word only as connected with ragged clothes, scanty food, fireless grates, rude manners, and debasing vices: poverty for me was synonymous with degradation.",13158,13466
4,SIGHT,glance,"Not a hint, however, did she drop about sending me to school: still I felt an instinctive certainty that she would not long endure me under the same roof with her; for her glance, now more than ever, when turned on me, expressed an insuperable and rooted aversion.",747,1013
4,TOUCH,feel,"Not a hint, however, did she drop about sending me to school: still I felt an instinctive certainty that she would not long endure me under the same roof with her; for her glance, now more than ever, when turned on me, expressed an insuperable and rooted aversion.",747,1013
4,SOUND,hear,"I heard him in a blubbering tone commence the tale of how “that nasty Jane Eyre” had flown at him like a mad cat: he was stopped rather harshly— “Don’t talk to me about her, John: I told you not to go near her; she is not worthy of notice; I do not choose that either you or your sisters should associate with her.” Here, leaning over the banister, I cried out suddenly, and without at all deliberating on my words— “They are not fit to associate with me.”",1692,2153
4,SOUND,tone,"I heard him in a blubbering tone commence the tale of how “that nasty Jane Eyre” had flown at him like a mad cat: he was stopped rather harshly— “Don’t talk to me about her, John: I told you not to go near her; she is not worthy of notice; I do not choose that either you or your sisters should associate with her.” Here, leaning over the banister, I cried out suddenly, and without at all deliberating on my words— “They are not fit to associate with me.”",1692,2153
4,SIGHT,notice,"I heard him in a blubbering tone commence the tale of how “that nasty Jane Eyre” had flown at him like a mad cat: he was stopped rather harshly— “Don’t talk to me about her, John: I told you not to go near her; she is not worthy of notice; I do not choose that either you or your sisters should associate with her.” Here, leaning over the banister, I cried out suddenly, and without at all deliberating on my words— “They are not fit to associate with me.”",1692,2153
4,SOUND,breath,"“What?” said Mrs. Reed under her breath: her usually cold composed grey eye became troubled with a look like fear; she took her hand from my arm, and gazed at me as if she really did not know whether I were child or fiend.",2738,2960
4,SIGHT,eye,"“What?” said Mrs. Reed under her breath: her usually cold composed grey eye became troubled with a look like fear; she took her hand from my arm, and gazed at me as if she really did not know whether I were child or fiend.",2738,2960
4,SIGHT,look,"“What?” said Mrs. Reed under her breath: her usually cold composed grey eye became troubled with a look like fear; she took her hand from my arm, and gazed at me as if she really did not know whether I were child or fiend.",2738,2960
